,Accuracy Score,Confusion Matrix,Training Time,Predict Time
Label Encoded,0.9987694831829368,"[[1303    1]
 [   2 1132]]",1.6882572174072266,0.1440577507019043
One Hot Encoded,0.9958982772764561,"[[1301    3]
 [   7 1127]]",1.3829569816589355,0.14458918571472168
Standard Scaled,1.0,"[[1304    0]
 [   0 1134]]",1.5349349975585938,0.18087506294250488
Feature Selection,0.8453650533223954,"[[1049  255]
 [ 122 1012]]",1.7421739101409912,0.143632173538208
PCA,0.8437243642329778,"[[1044  260]
 [ 121 1013]]",1.683661699295044,0.17493224143981934
