,Accuracy Score,Confusion Matrix,Training Time,Predict Time
Label Encoded,0.9971287940935193,"[[1299    5]
 [   2 1132]]",0.011352777481079102,0.17188405990600586
One Hot Encoded,0.9971287940935193,"[[1299    5]
 [   2 1132]]",0.007689952850341797,0.15245580673217773
Standard Scaled,0.9987694831829368,"[[1304    0]
 [   3 1131]]",0.03862500190734863,0.3817567825317383
Feature Selection,0.8625922887612797,"[[1053  251]
 [  84 1050]]",0.010748863220214844,0.07129907608032227
PCA,0.8547990155865464,"[[1070  234]
 [ 120 1014]]",0.007723808288574219,0.09438014030456543
