,Accuracy Score,Confusion Matrix,Training Time,Predict Time
Label Encoded,0.9499589827727646,"[[1255   49]
 [  73 1061]]",0.6394131183624268,0.002017974853515625
One Hot Encoded,0.9499589827727646,"[[1255   49]
 [  73 1061]]",0.6359570026397705,0.0017218589782714844
Standard Scaled,0.9626743232157506,"[[1264   40]
 [  51 1083]]",0.09525609016418457,0.0017931461334228516
Feature Selection,0.7908121410992617,"[[1071  233]
 [ 277  857]]",0.013720273971557617,0.0014858245849609375
PCA,0.7908121410992617,"[[1071  233]
 [ 277  857]]",0.018056154251098633,0.0019412040710449219
