,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.9327731092436975,"[[32  2]
 [ 6 79]]",0.06375885009765625,0.0006661415100097656,Label Encoded
1,0.9495798319327731,"[[32  2]
 [ 4 81]]",0.04958796501159668,0.0006330013275146484,One Hot Encoded
2,0.9159663865546218,"[[32  2]
 [ 8 77]]",0.01271677017211914,0.0007150173187255859,Standard Scaled
3,0.9411764705882353,"[[32  2]
 [ 5 80]]",0.0038890838623046875,0.0005309581756591797,Feature Selection
4,0.9243697478991597,"[[32  2]
 [ 7 78]]",0.0053060054779052734,0.0006661415100097656,PCA
