,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.907563025210084,"[[31  3]
 [ 8 77]]",0.0012311935424804688,0.005440950393676758,Label Encoded
1,0.9243697478991597,"[[32  2]
 [ 7 78]]",0.0009648799896240234,0.004733085632324219,One Hot Encoded
2,0.8067226890756303,"[[20 14]
 [ 9 76]]",0.0008959770202636719,0.005644083023071289,Standard Scaled
3,0.8991596638655462,"[[33  1]
 [11 74]]",0.0008919239044189453,0.0036170482635498047,Feature Selection
4,0.7983193277310925,"[[23 11]
 [13 72]]",0.0007569789886474609,0.004155874252319336,PCA
