,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.8739495798319328,"[[28  6]
 [ 9 76]]",0.002683877944946289,0.0006630420684814453,Label Encoded
1,0.8991596638655462,"[[28  6]
 [ 6 79]]",0.0015060901641845703,0.0005009174346923828,One Hot Encoded
2,0.8739495798319328,"[[28  6]
 [ 9 76]]",0.0013668537139892578,0.0004570484161376953,Standard Scaled
3,0.907563025210084,"[[30  4]
 [ 7 78]]",0.0008940696716308594,0.0004010200500488281,Feature Selection
4,0.8067226890756303,"[[28  6]
 [17 68]]",0.002263784408569336,0.0004222393035888672,PCA
