,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.7899159663865546,"[[11 23]
 [ 2 83]]",0.9138748645782471,0.06316280364990234,Label Encoded
1,0.8571428571428571,"[[29  5]
 [12 73]]",0.9728491306304932,0.053460121154785156,One Hot Encoded
2,0.8571428571428571,"[[28  6]
 [11 74]]",0.8433349132537842,0.05128598213195801,Standard Scaled
3,0.7899159663865546,"[[34  0]
 [25 60]]",0.7819550037384033,0.03409886360168457,Feature Selection
4,0.8319327731092437,"[[17 17]
 [ 3 82]]",0.9638938903808594,0.06782197952270508,PCA
