,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.95625,"[[459   0]
 [ 21   0]]",0.0011930465698242188,0.017775774002075195,Label Encoded
1,0.95625,"[[459   0]
 [ 21   0]]",0.0013811588287353516,0.012829780578613281,One Hot Encoded
2,0.9520833333333333,"[[457   2]
 [ 21   0]]",0.0010917186737060547,0.01927018165588379,Standard Scaled
3,0.9520833333333333,"[[457   2]
 [ 21   0]]",0.0010628700256347656,0.018784046173095703,Feature Selection
4,0.9520833333333333,"[[457   2]
 [ 21   0]]",0.0009567737579345703,0.014214038848876953,PCA
