,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.95625,"[[459   0]
 [ 21   0]]",1.0294759273529053,0.04255795478820801,Label Encoded
1,0.95625,"[[459   0]
 [ 21   0]]",0.8633263111114502,0.037804603576660156,One Hot Encoded
2,0.95625,"[[459   0]
 [ 21   0]]",0.8936440944671631,0.04973101615905762,Standard Scaled
3,0.95625,"[[459   0]
 [ 21   0]]",0.963813066482544,0.04144787788391113,Feature Selection
4,0.95625,"[[459   0]
 [ 21   0]]",0.9150009155273438,0.04029202461242676,PCA
