,Accuracy Score,Confusion Matrix,Training Time,Predict Time
Label Encoded,0.9395833333333333,"[[449  10]
 [ 19   2]]",0.006568193435668945,0.0008666515350341797
One Hot Encoded,0.9395833333333333,"[[449  10]
 [ 19   2]]",0.00653386116027832,0.0006601810455322266
Standard Scaled,0.9395833333333333,"[[449  10]
 [ 19   2]]",0.006454944610595703,0.0006442070007324219
Feature Selection,0.9395833333333333,"[[449  10]
 [ 19   2]]",0.006479740142822266,0.0006101131439208984
PCA,0.9333333333333333,"[[445  14]
 [ 18   3]]",0.006211996078491211,0.00045418739318847656
